time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
3.5693,0.0,0.0,1.0,0.0,-0.039,1.6,-8.655
3.5832,0.0,0.0,1.0,0.0,-0.039,1.6,-8.655
3.5967,0.0,0.0,1.0,0.0,-0.039,1.6,-8.655
3.6108,0.0,0.0,1.0,0.0,-0.039,1.6,-8.655
3.6251,0.0,0.0,1.0,0.0,-0.038,1.6,-8.655
3.6399,0.0,0.0,1.0,0.0,-0.038,1.6,-8.655
3.6531,0.0,0.0,1.0,0.0,-0.038,1.6,-8.655
3.6665,0.0,0.0,1.0,0.0,-0.038,1.6,-8.656
3.6806,0.0,0.0,1.0,0.0,-0.037,1.6,-8.656
3.6948,0.0,0.0,1.0,0.0,-0.037,1.6,-8.656
3.7082,0.0,0.0,1.0,0.0,-0.037,1.6,-8.656
3.7217,0.0,0.0,1.0,0.0,-0.037,1.6,-8.656
3.7359,0.0,0.0,1.0,0.0,-0.037,1.6,-8.656
3.7496,0.0,0.0,1.0,0.0,-0.037,1.6,-8.655
3.7633,0.0,0.0,1.0,0.0,-0.036,1.6,-8.655
3.7777,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.7914,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.8054,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.819,0.0,0.0,1.0,0.0,-0.035,1.6,-8.654
3.8329,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.8472,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.8609,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.874,0.0,0.0,1.0,0.0,-0.036,1.6,-8.654
3.8892,0.0,0.0,1.0,0.0,-0.036,1.6,-8.653
3.9037,0.0,0.0,1.0,0.0,-0.036,1.6,-8.653
3.9163,0.0,0.0,1.0,0.0,-0.036,1.6,-8.653
3.9304,0.0,0.0,1.0,0.0,-0.036,1.6,-8.652
3.944,0.0,0.0,1.0,0.0,-0.036,1.6,-8.652
3.9579,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
3.9713,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
3.9855,0.0,0.0,1.0,0.0,-0.036,1.6,-8.652
3.9996,0.0,0.0,1.0,0.0,-0.036,1.6,-8.652
4.0146,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
4.0279,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
4.0421,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
4.0553,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
4.0699,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
4.0832,0.0,0.0,1.0,0.0,-0.037,1.6,-8.652
4.0967,0.0,0.0,1.0,0.0,-0.037,1.6,-8.651
4.1104,0.0,0.0,1.0,0.0,-0.037,1.6,-8.651
4.1247,0.0,0.0,1.0,0.0,-0.037,1.6,-8.651
4.1396,0.0,0.0,1.0,0.0,-0.038,1.6,-8.651
4.1529,0.0,0.0,1.0,0.0,-0.038,1.6,-8.65
4.1668,0.0,0.0,1.0,0.0,-0.038,1.6,-8.65
4.18,0.0,0.0,1.0,0.0,-0.039,1.6,-8.649
4.1935,0.0,0.0,1.0,0.0,-0.039,1.6,-8.649
4.2074,0.0,0.0,1.0,0.0,-0.039,1.6,-8.649
4.2218,0.0,0.0,1.0,0.0,-0.04,1.6,-8.649
4.236,0.0,0.0,1.0,0.0,-0.04,1.6,-8.649
4.2498,0.0,0.0,1.0,0.0,-0.04,1.6,-8.65
4.2632,0.0,0.0,1.0,0.0,-0.04,1.6,-8.649
4.2777,0.0,0.0,1.0,0.0,-0.041,1.6,-8.649
4.2913,0.0,0.0,1.0,0.0,-0.04,1.6,-8.65
4.3047,0.0,0.0,1.0,0.0,-0.041,1.6,-8.65
4.3191,0.0,0.0,1.0,0.0,-0.041,1.6,-8.65
4.3329,0.0,0.0,1.0,0.0,-0.042,1.6,-8.649
4.3479,0.0,0.0,1.0,0.0,-0.042,1.6,-8.649
4.3624,0.0,0.0,1.0,0.0,-0.042,1.6,-8.649
4.3751,0.0,0.0,1.0,0.0,-0.042,1.6,-8.649
4.3888,0.0,0.0,1.0,0.0,-0.042,1.6,-8.648
4.4024,0.0,0.0,1.0,0.0,-0.041,1.6,-8.648
4.4165,0.0,0.0,1.0,0.0,-0.041,1.6,-8.648
